countr_name,tot_countr,tot_top,tot_specif,period
United States,256879.6131,227050.4843,29829.12872,current
Canada,48317.23429,34562.30989,13754.92439,current
China,36613.55708,30686.70147,5926.855602,current
Australia,23864.03355,13.13315679,23850.90039,current
India,21511.20923,13667.78849,7843.420741,current
Thailand,10662.0694,10662.0694,0,current
Argentina,7947.776964,1291.902562,6655.874401,current
Philippines,7351.460495,3525.109912,3826.350583,current
Vietnam,6303.430841,6303.430841,0,current
Indonesia,5775.23371,5775.23371,0,current
,269849.9791,237700.664,32149.31511,ssp1
,53930.99222,38075.75637,15855.23586,ssp1
,43714.2871,36049.80721,7664.479892,ssp1
,27046.3445,14.81891841,27031.52558,ssp1
,26447.60134,16541.51924,9906.082096,ssp1
,12276.71151,12276.71151,0,ssp1
,8980.622423,1532.114171,7448.508253,ssp1
,8519.882714,4112.985192,4406.897521,ssp1
,6127.965845,6127.965845,0,ssp1
,6299.982337,6299.982337,0,ssp1
,272333.5427,240262.3346,32071.2081,ssp2
,52780.17353,37109.77967,15670.39386,ssp2
,41707.46516,34139.68713,7567.778025,ssp2
,26938.5992,14.42157177,26924.17763,ssp2
,26193.44792,16337.30638,9856.141544,ssp2
,12209.36553,12209.36553,0,ssp2
,8975.180695,1521.41974,7453.760955,ssp2
,8459.646597,4083.219469,4376.427127,ssp2
,6065.778753,6065.778753,0,ssp2
,6142.589292,6142.589292,0,ssp2
United States,280769.8553,248192.5546,32577.30077,ssp5
Canada,54363.88627,38386.75432,15977.13195,ssp5
China,42807.96396,35030.3768,7777.587167,ssp5
Australia,27667.08316,14.88204383,27652.20111,ssp5
India,26703.12685,16681.59872,10021.52813,ssp5
Thailand,12433.51029,12433.51029,0,ssp5
Argentina,9257.133124,1536.958291,7720.174833,ssp5
Philippines,8606.454899,4145.904814,4460.550084,ssp5
Vietnam,6102.775121,6102.775121,0,ssp5
Indonesia,6334.27416,6334.27416,0,ssp5
