Official_country_sumssp1,ssp1_sum_manag,Official_country_sumssp2,ssp2_sum_manag,Official_country_sumssp5,ssp5_sum_manag
Argentina,32.63401944,Argentina,33.66800127,Argentina,32.59098629
Australia,494.8477973,Australia,537.2750834,Australia,493.8757693
Austria,3.50631769,Austria,2.585740072,Austria,3.368231047
Belize,2.95522388,Belize,2.95522388,Belize,2.95522388
Benin,0,Benin,0,Benin,0
Bhutan,0,Bhutan,0,Bhutan,0
Bolivia,1.115923152,Bolivia,1.118989471,Bolivia,1.120997504
Brazil,4.192343151,Brazil,4.188546236,Brazil,4.192965718
Brunei,0.910714286,Brunei,0.665178572,Brunei,0.6875
Cambodia,0,Cambodia,0,Cambodia,0
Cameroon,0.558086158,Cameroon,0.487288136,Cameroon,0.658368644
Canada,135.7108083,Canada,148.8798479,Canada,149.4747844
Chile,77.75693968,Chile,93.28812427,Chile,80.56040967
China,78.7018111,China,75.36816789,China,77.11270736
Colombia,1.10692005,Colombia,1.051780401,Colombia,1.070952107
Cuba,11.70959052,Cuba,11.71928879,Cuba,11.71443966
Democratic Republic of the Congo,2.043153279,Democratic Republic of the Congo,2.120490333,Democratic Republic of the Congo,2.156218856
Denmark,9.776292703,Denmark,9.865332856,Denmark,9.944764424
Ecuador,0.566316059,Ecuador,0.546818882,Ecuador,0.572793741
Ethiopia,0,Ethiopia,0,Ethiopia,0
Fiji,18.16901408,Fiji,17.97887324,Fiji,10.54225352
Finland,8.825595601,Finland,9.063836285,Finland,8.337660356
France,32.28370517,France,29.80790727,France,35.10111096
Germany,52.00173848,Germany,42.77505668,Germany,49.01562257
Ghana,0.077525451,Ghana,0.097102585,Ghana,0.151135474
Guatemala,3.398760331,Guatemala,3.402892562,Guatemala,3.404958678
Iceland,13.18927589,Iceland,13.25527039,Iceland,13.27176902
India,18.49843636,India,15.67971542,India,18.5614529
Indonesia,2.163466334,Indonesia,1.931639651,Indonesia,2.047880299
Italy,16.95815254,Italy,15.78059627,Italy,19.97332925
Japan,250.6433986,Japan,247.4353973,Japan,177.0171581
Kenya,14.2069378,Kenya,14.76674641,Kenya,15.66566986
Laos,2.950570692,Laos,2.96603461,Laos,2.992268041
Lithuania,1.494581749,Lithuania,1.5,Lithuania,1.5
Malawi,10.05239415,Malawi,10.18284669,Malawi,10.24234513
Malaysia,4.607057236,Malaysia,4.190515434,Malaysia,4.460593349
Malta,3,Malta,3,Malta,3
Mexico,64.39405843,Mexico,59.44132464,Mexico,50.64846425
Mozambique,0,Mozambique,0,Mozambique,0
Myanmar,0.518831878,Myanmar,0.508477757,Myanmar,0.519514192
Netherlands,6.194383839,Netherlands,6.204033606,Netherlands,6.169457258
New Zealand,187.6586202,New Zealand,143.9568322,New Zealand,3337.131229
Nicaragua,0,Nicaragua,0,Nicaragua,0
Nigeria,0,Nigeria,0,Nigeria,0
Norway,199.0359701,Norway,125.7395217,Norway,91.88179569
Pakistan,0,Pakistan,0,Pakistan,0
Panama,0,Panama,0,Panama,0
Paraguay,1,Paraguay,1,Paraguay,1
Peru,8.058164757,Peru,7.868035214,Peru,7.817965986
Philippines,14.67100347,Philippines,14.59226391,Philippines,14.58285301
Portugal,7.357116705,Portugal,7.202337416,Portugal,6.878207294
Singapore,1.55,Singapore,1.4,Singapore,1.65
Spain,57.11141526,Spain,54.7919754,Spain,55.26435342
Suriname,0.499419954,Suriname,0.499419954,Suriname,0.499419954
Sweden,8.347050257,Sweden,7.920631419,Sweden,9.057804809
Tanzania,0,Tanzania,0,Tanzania,0
Thailand,0,Thailand,0,Thailand,0
Timor-Leste,0,Timor-Leste,0,Timor-Leste,0
Togo,0,Togo,0,Togo,0
Uganda,0.829626789,Uganda,0.773133947,Uganda,0.752684049
United Kingdom,330.8582916,United Kingdom,303.7539772,United Kingdom,296.3568852
United States,189.8930383,United States,193.4434541,United States,195.7261947
Uruguay,2.075707547,Uruguay,1.968396227,Uruguay,2.079245283
Venezuela,4.035562633,Venezuela,3.752123142,Venezuela,3.728768578
Vietnam,4.724668196,Vietnam,4.645227156,Vietnam,4.579504849
Zambia,0,Zambia,0,Zambia,0
Zimbabwe,1.014503589,Zimbabwe,1.139503589,Zimbabwe,1.310257177
